User,Review,Rating,Date,review_nepali
A Google user,"Worldlink ko ta net slow vayo vayo ... aba ta app dhari nachalne. Whenever i open the app to open a ticket for the connection problem , it automatically stops working. Whats up with this ? It happens frequently ... so much irritated and frustated with this. Yo app banako faida nai k vayo , jaba app chalauna khojda app nai proper chaldaina... register vako no. And email id ni change garna namilne .. kei garna namilne.",1,2019-12-03 21:02:07,"Worldlink को ta net slow वयो वयो... aba ta app धरि नछल्ने. Whenever i open the app to open a ticket for the connection problem, it automatically stops working. What Is up with this? It happens frequently... so much irritated and फ़्रुस्ततेद् with this. Yo app बनको फ़ैद नै k वयो, जब app छलौन खोज्द app नै proper छल्दैन... register वको no. And email id नि change गर्न नमिल्ने.. केइ गर्न नमिल्ने."
A Google user,I am using 5years worldlink But fuch this service Customer very bad service Please everyone don't join worldlink,1,2025-01-14 19:20:37,I am using ५येअर्स् worldlink But फ़ुछ् this service Customer very bad service Please everyone do not join worldlink
A Google user,"total waste of time talking with support team.. Too immature and unprofessional. Had worst experience with classic tech earlier. Congratulations, YOURworldlink.. You Won!!!. I would rather accept dhunge yug (ढुङ्गे युग) then getting service from Worldlink..again.",1,2024-02-16 19:20:11,"total waste of time talking with support team.. Too immature and unprofessional. Had worst experience with classic tech earlier. Congratulations, योउर्wओर्ल्द्लिन्क्.. You Won!!!. I would rather accept धुन्गे युग्( ढु ङ् गे यु ग) then getting service from Worldlink.. again."
A Google user,One of the worst app. If there was an option to give 0 star i would give that. I am not able to open the apps. Neither i am able to complain anything to them. They blocked me on facebook. Chutiya Haru 😆. Ntc data is better then their 30 Mbps internet. Phone bata complain garyo vane everytime their solution would be wifi pw change garnush or routet restart garnush. Yini harulai phone garne 1 month ko paisa le ta pura 1 month ko internet fee tirna sakinxa. WORST ISP OF NEPAL,1,2021-05-04 14:41:11,One of the worst app. If there was an option to give 0 star i would give that. I am not able to open the apps. Neither i am able to complain anything to them. They blocked me on फ़चेबोओक्. छुतिय हरु😆. न्त्च् data is better then their 30 म्ब्प्स् internet. Phone बत complain गर्यो vane एवेर्य्तिमे their solution would be wइफ़ि प्w change गर्नुस्ह् or रोउतेत् restart गर्नुस्ह्. यिनि हरुलै phone गर्ने 1 month को paisa ले ta पुर 1 month को internet fee तिर्न सकिन्छ. WORST ISP OF NEPAL
A Google user,Very slow. Always says maintainance in procress. Couldnot login through worldlink internet but gets connected through other internet isp or via data...,1,2020-05-08 16:32:04,Very slow. Always says मैन्तैनन्चे in प्रोच्रेस्स्. चोउल्द्नोत् login through worldlink internet but gets connected through other internet इस्प् or via data...
A Google user,k app ho yo mac filter nai hudaina.Router login ip address bata nahune bhaye app ma ta ramro sanga hunu paryo better will be access to ip adress. very poor app.wahiyat very very slow. mac filter ramro banauna paryo.hoina bhane router access chaiyo .2 mahina bhayo no reply,1,2024-11-07 05:59:00,k app ho yo mac filter नै हुदैन. Router login इप् address बत नहुने भये app ma ta रम्रो सन्ग हुनु पर्यो better will be access to इप् अद्रेस्स्. very poor app. wअहियत् very very slow. mac filter रम्रो बनौन पर्यो. होइन भने router access छैयो. 2 महिन भयो no reply
A Google user,"Kripaya fake reviews haru na denu hola,,,, world slowest Internet bhanako nae world link ho... Like wire ko problem aayo bhaney ne 3 days lagxa banaunu",1,2025-02-15 19:24:02,"क्रिपय fake reviews हरु न देनु होल,,,, world slowest Internet भनको nae world link ho... Like wire को problem अअयो भनेय् ne 3 days लग्छ बनौनु"
A Google user,Plz connection problem solve,1,2025-02-14 09:54:35,प्ल्ज़् connection problem solve
A Google user,Net tv install xaina but payment same linxaa recharge through net tv ko kina?,1,2025-01-10 11:21:00,Net त्व् install छैन but payment same लिन्छअ recharge through net त्व् को kina?
A Google user,"When you connet worldlink then first 3/4 months its relly fast bt slowly its speed decrease, and now my wifi speed is about 15 to 20mbps in speed test, bt my wifi is 30 mbps when i connect, its relly slow,",1,2021-10-06 22:36:21,"When you चोन्नेत् worldlink then first 3। 4 months its रेल्ल्य् fast ब्त् slowly its speed decrease, and now my wइफ़ि speed is about 15 to २०म्ब्प्स् in speed test, ब्त् my wइफ़ि is 30 म्ब्प्स् when i connect, its रेल्ल्य् slow,"
